"Date","Price","Open","High","Low","Vol.","Change %"
"09/29/2021","26,996.0","27,480.0","27,674.0","26,609.0","11.24M","-1.41%"
"09/30/2021","27,383.0","26,996.0","27,867.0","26,706.0","9.93M","1.43%"
"10/01/2021","27,770.0","27,190.0","28,351.0","26,900.0","15.57M","1.41%"
"10/04/2021","27,093.0","27,770.0","28,835.0","27,093.0","14.59M","-2.44%"
"10/05/2021","27,770.0","27,674.0","27,964.0","27,287.0","9.92M","2.50%"
"10/06/2021","27,867.0","27,964.0","28,545.0","27,674.0","7.73M","0.35%"
"10/07/2021","27,480.0","27,674.0","27,867.0","27,287.0","10.24M","-1.39%"
"10/08/2021","27,480.0","28,061.0","28,061.0","27,287.0","6.15M","0.00%"
"10/11/2021","27,577.0","27,480.0","28,254.0","27,480.0","8.58M","0.35%"
"10/12/2021","28,254.0","27,674.0","28,738.0","27,577.0","13.81M","2.45%"
"10/13/2021","27,867.0","28,254.0","28,448.0","27,867.0","5.67M","-1.37%"
"10/14/2021","27,770.0","27,770.0","28,351.0","27,674.0","7.88M","-0.35%"
"10/15/2021","27,770.0","28,061.0","28,254.0","27,383.0","9.80M","0.00%"
"10/18/2021","28,545.0","27,867.0","29,319.0","27,867.0","16.87M","2.79%"
"10/19/2021","28,254.0","28,738.0","28,738.0","28,157.0","4.60M","-1.02%"
"10/20/2021","27,867.0","28,351.0","28,641.0","27,190.0","7.03M","-1.37%"
"10/21/2021","27,577.0","28,061.0","28,254.0","27,287.0","8.90M","-1.04%"
"10/22/2021","27,674.0","27,577.0","28,061.0","27,287.0","7.48M","0.35%"
"10/25/2021","28,061.0","27,867.0","28,738.0","27,867.0","7.76M","1.40%"
"10/26/2021","27,770.0","28,157.0","28,254.0","27,577.0","5.43M","-1.04%"
"10/27/2021","29,512.0","27,964.0","29,706.0","27,867.0","17.37M","6.27%"
"10/28/2021","29,125.0","29,512.0","29,802.0","28,835.0","10.60M","-1.31%"
"10/29/2021","29,319.0","28,835.0","29,802.0","28,641.0","8.21M","0.67%"
"11/01/2021","28,448.0","29,319.0","29,609.0","28,254.0","11.61M","-2.97%"
